rank,feature,abs_coef
256,num__contacts_total_tickets_wow_delta_W0_W1,0.03325417217918479
257,num__avg_pd_distance_google_W0,0.033044587222444494
258,num__cdt_trend_slope_8w,0.03296227902630787
259,num__contacts_total_tickets_W1,0.032911028131858956
260,num__total_bw_orders_wow_delta_W1_W2,0.03178499441426181
261,num__shifts_done_per_order_wow_delta_W2_W3,0.03152830916943213
262,num__total_bw_orders_W3,0.031149862273520554
263,num__perc_stacking_W3,0.030745685304303043
264,num__compliance_distinct_violation_types_W3,0.030311510212567998
265,num__total_bw_orders_per_order_wow_delta_W2_W3,0.029618729553447812
266,num__perc_stacking_W0,0.02933557516820003
267,num__at_vendor_time_in_minutes_W3,0.02919493655751334
268,num__compliance_distinct_violation_types_wow_delta_W2_W3,0.02918561208188179
269,num__compliance_distinct_violation_types_W4,0.029057772426649937
270,num__at_customer_time_in_minutes_wow_delta_W0_W1,0.028907988140788234
271,num__perc_reas_W1,0.0277867913339201
272,num__shifts_done_wow_delta_W3_W4,0.027763944182169584
273,num__cdt_wow_delta_W1_W2,0.027755490532106148
274,num__compliance_total_violations_per_order_wow_delta_W4_W5,0.026249892651836637
275,num__compliance_total_violations_wow_delta_W2_W3,0.026102974962677408
276,num__avg_sat_score_wow_delta_W4_W5,0.02560857927108542
277,num__avg_sp_distance_google_wow_delta_W2_W3,0.02549133316990548
278,num__cdt_W6,0.025236822294350363
279,num__perc_reas_W0,0.024919472483388272
280,num__cdt_wow_delta_W2_W3,0.024433651612166835
281,num__net_cpo_lc_trend_slope_8w,0.02379151879844387
282,num__compliance_total_violations_per_order_W4,0.02373161587591014
283,num__compliance_total_violations_per_order_wow_delta_W2_W3,0.023673473642603544
284,num__perc_stacking_trend_slope_8w,0.023564312093292298
285,num__avg_pd_distance_google_trend_slope_8w,0.02324403466947209
286,num__contacts_total_tickets_per_order_W2,0.022919203128779167
287,num__contacts_total_tickets_per_order_wow_delta_W3_W4,0.022911062420315174
288,num__compliance_total_violations_W2,0.022841221240332322
289,num__at_customer_time_in_minutes_wow_delta_W3_W4,0.02215467246784861
290,num__perc_stacking_W1,0.021543795318193608
291,num__total_bw_orders_wow_delta_W3_W4,0.02149826243664031
292,num__at_customer_time_in_minutes_wow_delta_W1_W2,0.02144373653603579
293,num__avg_sat_score_wow_delta_W0_W1,0.021415890398349915
294,num__avg_sp_distance_google_W2,0.021159066154252906
295,num__compliance_distinct_violation_types_trend_slope_8w,0.020432753593922336
